authorID,new_country_code,new_afftype,Coder,firstName,genderize,doi,gender_prediction,race_prediction,race
10.1093/ccc/tcab047+1.0,US,Education,Jeff,Camilo,male,10.1093/ccc/tcab047,M,0,White
10.1093/joc/jqab015+1.0,US,Education,Jeff,Kristina,female,10.1093/joc/jqab015,F,2,Asian
10.1093/joc/jqab019+1.0,US,Education,Jeff,Tian,male,10.1093/joc/jqab019,M,2,Asian
10.1093/joc/jqab029+3.0,US,Education,Jeff,Adrienne,female,10.1093/joc/jqab029,F,0,White
10.1093/hcr/hqaa015+7.0,US,Education,Jeff,Josephine,female,10.1093/hcr/hqaa015,F,0,White
10.1093/ct/qtaa006+1.0,US,Education,Jeff,Adriana,female,10.1093/ct/qtaa006,F,3,Hispanic
10.1093/ct/qtz030+1.0,US,Education,Jeff,Kami,male,10.1093/ct/qtz030,M,0,White
10.1093/joc/jqaa037+2.0,US,Education,Jeff,Stefanie,female,10.1093/joc/jqaa037,F,0,White
10.1093/hcr/hqaa004+3.0,US,Education,Haley,Zachary,male,10.1093/hcr/hqaa004,M,0.0,White
10.1093/joc/jqaa004+1.0,US,Education,Haley,Toussaint,male,10.1093/joc/jqaa004,M,0.0,White
10.1093/joc/jqaa010+1.0,US,Education,Haley,Russell,male,10.1093/joc/jqaa010,M,0.0,White
10.1093/ccc/tcaa005+1.0,US,Education,Haley,James,male,10.1093/ccc/tcaa005,M,0.0,White
10.1093/hcr/hqaa008+6.0,CO,Education,Haley,Margaret,female,10.1093/hcr/hqaa008,F,0.0,White
10.1093/joc/jqz042+2.0,US,Education,Haley,Lei,female,10.1093/joc/jqz042,F,2.0,Asian
10.1093/hcr/hqz020+1.0,US,Education,Haley,Andrew,male,10.1093/hcr/hqz020,M,0.0,White
10.1093/joc/jqaa007+5.0,US,Education,Haley,Dar,male,10.1093/joc/jqaa007,M,0.0,White
10.1093/joc/jqaa013+1.0,US,Education,Haley,Yotam,male,10.1093/joc/jqaa013,M,4.0,Middle Eastern
10.1093/joc/jqaa009+2.0,AT,Education,Haley,Jakob-Moritz,,10.1093/joc/jqaa009,M,0.0,White
10.1093/ccc/tcaa003+3.0,US,Education,Haley,Donte,male,10.1093/ccc/tcaa003,M,1.0,Black
10.1093/hcr/hqz022+2.0,US,Education,Haley,Patrick,male,10.1093/hcr/hqz022,M,0.0,White
10.1093/ct/qtz023+1.0,US,Education,Haley,Norie,female,10.1093/ct/qtz023,M,0.0,White
10.1093/jcmc/zmz018+1.0,US,Education,Haley,Caleb,male,10.1093/jcmc/zmz018,M,0.0,White
10.1093/hcr/hqz023+3.0,US,Education,Haley,Nikki,female,10.1093/hcr/hqz023,F,2.0,Asian
10.1093/ccc/tcaa003+1.0,US,Education,Haley,Aram,male,10.1093/ccc/tcaa003,M,0.0,White
